year,race_name,driverRef,constructor_name,grid,qualifying_pos,grid_penalty,positionOrder,driver_points_pre_race,driver_pos_pre_race,driver_form,team_form,constructor_points_pre_race,top3,top10,DNF,pos_gain_loss,circuit_passability,driver_track_history,team_history
2023,Australian Grand Prix,ocon,Alpine F1 Team,11,11,0,14,4.0,10.0,12.11764705882353,10.558823529411764,8.0,0,0,1,-3,-0.1875,9.666666666666666,10.056818181818182
2023,Australian Grand Prix,de_vries,AlphaTauri,15,15,0,15,0.0,18.0,14.0,12.5,1.0,0,0,1,0,-0.1875,12.0,11.926229508196721
2023,Australian Grand Prix,sargeant,Williams,18,18,0,16,0.0,16.0,14.352941176470589,14.823529411764708,1.0,0,0,1,2,-0.1875,12.0,14.699186991869919
2023,Australian Grand Prix,kevin_magnussen,Haas F1 Team,14,14,0,17,1.0,12.0,11.23529411764706,12.235294117647058,7.0,0,0,1,-3,-0.1875,13.0,14.390243902439025
2023,Australian Grand Prix,russell,Mercedes,2,2,0,18,18.0,6.0,5.235294117647058,5.117647058823529,56.0,0,0,1,-16,-0.1875,9.5,4.199186991869919
2023,Australian Grand Prix,albon,Williams,8,8,0,19,1.0,13.0,15.294117647058824,14.823529411764708,1.0,0,0,1,-11,-0.1875,12.0,14.699186991869919
2023,Australian Grand Prix,leclerc,Ferrari,7,7,0,20,6.0,8.0,11.941176470588234,8.558823529411764,26.0,0,0,1,-13,-0.1875,6.333333333333333,6.703252032520325
2023,Azerbaijan Grand Prix,perez,Red Bull,3,3,0,1,54.0,2.0,3.050228310502283,2.184931506849315,123.0,1,1,0,2,-0.57,5.4,6.686991869918699
2023,Azerbaijan Grand Prix,max_verstappen,Red Bull,2,2,0,2,69.0,1.0,1.3196347031963471,2.184931506849315,180.0,1,1,0,0,-0.57,11.4,6.686991869918699
2023,Azerbaijan Grand Prix,leclerc,Ferrari,1,1,0,3,6.0,10.0,15.621004566210043,11.956621004566207,26.0,1,1,0,-2,-0.57,8.5,6.703252032520325
2023,Azerbaijan Grand Prix,alonso,Aston Martin,6,6,0,4,45.0,3.0,3.0,6.280821917808219,65.0,0,1,0,2,-0.57,7.25,11.943181818181818
2023,Azerbaijan Grand Prix,sainz,Ferrari,4,4,0,5,20.0,5.0,8.292237442922374,11.956621004566207,62.0,0,1,0,-1,-0.57,9.6,6.703252032520325
2023,Azerbaijan Grand Prix,hamilton,Mercedes,5,5,0,6,38.0,4.0,3.6301369863013697,7.34703196347032,56.0,0,1,0,-1,-0.57,5.4,4.199186991869919
2023,Azerbaijan Grand Prix,stroll,Aston Martin,9,9,0,7,20.0,6.0,9.561643835616438,6.280821917808219,87.0,0,1,0,2,-0.57,11.0,11.943181818181818
2023,Azerbaijan Grand Prix,russell,Mercedes,11,11,0,8,18.0,7.0,11.063926940639268,7.34703196347032,76.0,0,1,0,3,-0.57,11.666666666666666,4.199186991869919
2023,Azerbaijan Grand Prix,norris,McLaren,7,7,0,9,8.0,8.0,11.97716894977169,12.449771689497718,12.0,0,1,0,-2,-0.57,7.333333333333333,10.74390243902439
2023,Azerbaijan Grand Prix,tsunoda,AlphaTauri,8,8,0,10,1.0,16.0,10.54337899543379,12.5,1.0,0,1,0,-2,-0.57,10.0,11.926229508196721
2023,Azerbaijan Grand Prix,piastri,McLaren,10,10,0,11,4.0,13.0,12.922374429223744,12.449771689497718,14.0,0,0,0,-1,-0.57,12.0,10.74390243902439
2023,Azerbaijan Grand Prix,albon,Williams,12,13,-1,12,1.0,18.0,16.986301369863014,16.04566210045662,1.0,0,0,0,0,-0.57,11.5,14.699186991869919
2023,Azerbaijan Grand Prix,kevin_magnussen,Haas F1 Team,16,18,-2,13,1.0,17.0,13.8675799086758,12.127853881278538,7.0,0,0,0,3,-0.57,12.5,14.390243902439025
2023,Azerbaijan Grand Prix,gasly,Alpine F1 Team,17,19,-2,14,4.0,14.0,10.82648401826484,11.901826484018263,8.0,0,0,0,3,-0.57,9.25,10.056818181818182
2023,Azerbaijan Grand Prix,ocon,Alpine F1 Team,0,12,-12,15,4.0,12.0,12.977168949771691,11.901826484018263,8.0,0,0,0,-15,-0.57,13.75,10.056818181818182
2023,Azerbaijan Grand Prix,sargeant,Williams,14,15,-1,16,0.0,19.0,15.105022831050228,16.04566210045662,1.0,0,0,0,-2,-0.57,12.0,14.699186991869919
